"snapshot_id","price_rank","merchant_alias","price","min_amount","max_amount","recent_order_num","recent_execute_rate","gap_from_best_pct","snapshot_median_price"
2378,238,"merchant_213",92.9000,850.00,415602.06,2769,100.000,9.2941,91.0000
2378,239,"merchant_055",92.9500,4000.00,100000.00,94,100.000,9.3529,91.0000
2378,240,"merchant_158",92.9700,30000.00,500000.00,1366,99.000,9.3765,91.0000
2378,241,"merchant_147",92.9800,20000.00,756557.89,174,98.000,9.3882,91.0000
2378,242,"merchant_112",93.0000,5000.00,1000000.00,2535,99.000,9.4118,91.0000
2378,243,"merchant_137",93.0000,10000.00,500000.00,2105,99.000,9.4118,91.0000
2378,244,"merchant_104",93.0000,10000.00,343500.01,8,100.000,9.4118,91.0000
2378,245,"merchant_102",93.0000,500.00,132391.17,649,100.000,9.4118,91.0000
2378,246,"merchant_203",93.0000,30000.00,243679.71,145,100.000,9.4118,91.0000
2378,247,"merchant_105",93.2500,5000.00,13449.31,652,99.000,9.7059,91.0000
2378,248,"merchant_047",93.3200,25000.00,1347773.49,794,98.000,9.7882,91.0000
2378,249,"merchant_033",93.3900,20000.00,200000.00,2434,100.000,9.8706,91.0000
2378,250,"merchant_166",93.4000,10000.00,500000.00,116,100.000,9.8824,91.0000
2378,251,"merchant_164",93.4500,500.00,80102.35,860,100.000,9.9412,91.0000
2378,252,"merchant_214",93.5000,15000.00,300000.00,53,100.000,10.0000,91.0000
2378,253,"merchant_152",93.5000,5000.00,9600.00,78,100.000,10.0000,91.0000
2378,254,"merchant_153",93.5000,10000.00,104718.27,1188,100.000,10.0000,91.0000
2378,255,"merchant_208",93.5500,9000.00,69792.91,191,99.000,10.0588,91.0000
2378,256,"merchant_141",93.5500,50000.00,150000.00,190,100.000,10.0588,91.0000
2378,257,"merchant_205",93.6000,10000.00,50000.00,140,100.000,10.1176,91.0000
2378,258,"merchant_185",93.9000,10000.00,100000.00,1717,100.000,10.4706,91.0000
2378,259,"merchant_069",93.9000,1000.00,59211.52,932,99.000,10.4706,91.0000
2378,260,"merchant_144",93.9800,1000.00,834171.29,763,99.000,10.5647,91.0000
2378,261,"merchant_176",93.9800,999.00,160000.00,4245,100.000,10.5647,91.0000
2378,262,"merchant_024",93.9900,3000.00,175763.60,1197,100.000,10.5765,91.0000
2378,263,"merchant_121",93.9900,1000.00,737754.98,1181,99.000,10.5765,91.0000
2378,264,"merchant_155",94.0000,500.00,868.48,207,99.000,10.5882,91.0000
2378,265,"merchant_107",94.0000,500.00,139705.15,5675,99.000,10.5882,91.0000
2378,266,"merchant_046",94.0000,10000.00,300000.00,575,100.000,10.5882,91.0000
